"Year";"Nominal";"Real"
1961;20.2537846300577;103.835822854259
1962;19.9995516738959;100.654241215073
1963;20.9042346663009;107.170508986878
1964;21.8838608888367;110.644337140581
1965;22.0772887919286;110.558794578032
1966;22.2747098098046;107.581111572804
1967;22.0280472215725;105.462834210769
1968;20.9220342021537;101.048036766844
1969;21.8944173308222;100.370961432618
1970;23.2280981206298;100.107267779549
1971;24.7238913071618;101.316372420319
1972;26.4342853603718;99.3039116995126
1973;35.9655727083175;116.501137902778
1974;51.6945134089976;137.406987338589
1975;54.9143702989907;131.429683316427
1976;47.5899650475851;112.518624684868
1977;47.8221319936646;104.598219345383
1978;52.941619637918;99.6423871650778
1979;58.9815726302182;99.5141815003255
1980;64.9880224676469;99.6866074965297
1981;63.4653734369533;97.239934729384
1982;55.8059666224016;88.1292881131306
1983;52.9848961644782;85.9535984968433
1984;55.3609521849966;91.8290326276775
1985;49.8806076308025;83.6105036010555
1986;48.7428573035031;71.0361499950588
1987;50.2975130612298;66.890963393599
1988;56.697748433801;70.806850507889
1989;59.6165446302641;74.9007679031932
1990;63.0135102078552;76.2582163726443
1991;62.0635542200573;75.8056759761554
1992;63.9345536782825;76.6581368462413
1993;61.9451792854722;71.7953372979454
1994;66.9392562104295;79.9859165282615
1995;76.6254112053938;83.4018944677042
1996;77.6350106215912;86.1421035450617
1997;70.605498680238;82.2141882904795
1998;64.6603894685657;78.728758359376
1999;55.1695829649553;68.4895563744242
2000;53.3263475989442;67.059820096889
2001;54.9643118659646;71.8119015636575
2002;53.12229622553;70.225184120591
2003;57.7927113878794;72.6231795610191
2004;65.5535803144408;77.1360821614006
2005;67.3771287416083;76.8607791029486
2006;72.5631539239452;80.7315727635364
2007;94.2535489401701;98.8160238745094
2008;117.510642062578;114.32840949495
2009;91.6613220353401;95.0698165835085
2010;106.743836444158;106.796272610305
2011;131.884416183678;118.832657862519
2012;122.840825261913;111.497379800032
2013;120.125169269034;109.510425065749
2014;115.028665537798;106.317079576716
2015;93.0469127125452;95.1206439601723
2016;91.9244217496569;97.806359445284
2017;98.0228593670835;100.807797555114
2018;95.9166877873964;94.2130398166197
2019;95.1039555885253;95.6499452310714
2020;98.1297933771808;99.1801886760812
2021;125.728112274722;125.075925691181
2022;143.653643385039;140.553207836612
2023;125.418225772991;120.618664467242
